店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
Italian Blair House（ブレアハウス）,050-5485-9696,,宮城県,仙台市青葉区,本町2-3-10,仙台本町ビルB1,,
イタリアン 麦,050-5488-8910,,三重県,桑名市,長島町駒江漆畑270,,,
ITALIAN LAB． D,050-5484-0805,,愛知県,豊田市,西町5-15-1,豊田西町ビル1F,,
Italian bar 風,050-8881-0070,,神奈川県,藤沢市,鵠沼石上1-3-10,,,
イタリアン チーズバル バルバル 博多駅前,050-5486-3792,,福岡県,福岡市博多区,博多駅前3-23-20,,,
Italianbar circolo（チルコロ）熊谷店,0485-98-5189,,埼玉県,熊谷市,筑波2-42,成蹊ビル1F,,
伊太利亜食堂 燈屋 －TOUYA－ 石岡店,050-5485-3638,,茨城県,石岡市,南台2-9-8,,,
イタリアン バル リ オット（Italian Bar ri otto）,050-5488-7032,,静岡県,浜松市中区,鍛冶町2-9,b．b．bldg1F,,
ITALIAN BAR be－in,050-5492-6830,,大阪府,寝屋川市,香里新町5-22,,,
熊本 イタリアン イタリア食堂 雅,050-5493-6610,,熊本県,熊本市中央区,下通1-2-11,TM34ビル1F,,
伊太利亜食堂 燈屋 －TOUYA－ 土浦北インター店,050-5486-8058,,茨城県,土浦市,並木2-19-5,,,
Ponte italia ～ポンテ イタリア～,050-5485-5904,,岡山県,岡山市北区,本町8-15,2F,,
イタリアンバル Aoneco（アオネコ）,050-5485-5394,,東京都,江東区,森下1-10-7,大場ビル1F,,
笑がお イタリアン,050-5494-7845,,東京都,墨田区,本所1-30-7,,,
個室×イタリアン GIROND’S JR．ジローズジュニア,050-5486-3130,,大阪府,大阪市北区,曽根崎新地1-1-40,アストリアジロービル3F,,
個室 イタリアン SATOMI Fooding 秋葉原1号店,050-5484-9420,,東京都,千代田区,神田和泉町1-3-3,タイワビル2F,,
魚イタリアン 神楽坂 y cucina,050-5487-1754,,東京都,新宿区,神楽坂5-37-10,,,
イタリアンバジル（ITALIANBASIL）,050-5492-0474,,神奈川県,横浜市中区,野毛町2-81,キャッスル桜木,,
イタリアン ホルト,050-5487-8727,,鹿児島県,鹿児島市,新照院町41-1,,,
FaRo Italian ＆ Cafe,050-5494-1974,,大阪府,大阪市北区,角田町8-47,阪急グランドビル31F,,
FaRo Italian ＆ Cafe,050-5494-1974,,大阪府,大阪市北区,角田町8-47,阪急グランドビル31F,,
平塚イタリアン ATLANTIS（アトランティス）,050-5485-6958,,神奈川県,平塚市,紅谷町4-12,ダイヤビルB1,,
イタリアンバル Ｇ,050-5486-2396,,神奈川県,川崎市川崎区,駅前本町19-17,,,
朝までイタリアン,086-201-6556,,岡山県,岡山市北区,本町8-15,2F,,
チーズ×イタリアン オステリア エ ボッテガ エッセ 茅ヶ崎,050-5487-3320,,神奈川県,茅ヶ崎市,東海岸北1-5-7,,,
イタリアン×肉バル BEEHOUSE ‐ビーハウス‐ 千葉店,050-5485-0882,,千葉県,千葉市中央区,富士見2-4-13,大昌ビル2F,,
イタリアン酒場 寛’s,050-5487-5593,,埼玉県,越谷市,北越谷4-2-9,1F,,
Italian ＆ Cafee BOSCO（イタリアン＆カフェボスコ）,050-5486-8628,,大阪府,大阪市城東区,新喜多1-2-7,,,
個室×イタリアン PIZZANIA 六本木,050-5484-7957,,東京都,港区,六本木2-3-7,セントラルクリブIII1F,,
お酒×イタリアン×洋食 No Name（ノーネーム）,050-5492-1154,,宮城県,仙台市青葉区,国分町2-5-16,ミヤビプリモ国分町ビルB1,,
Italian Bar PIENO,050-5488-4984,,大阪府,大阪市中央区,難波4-5-3,,,
イタリアン×肉バル BEONE ‐ビーワン‐ 北千住店,050-5484-8668,,東京都,足立区,千住2-25-1,やよいビルB1,,
創作イタリアン 33 Tokyo（サーティースリートウキョウ）,050-5493-8065,,東京都,渋谷区,宇田川町33-1,グランド東京渋谷ビル2F,,
イタリアン酒場 バルットリア兄弟 青物横丁,050-5488-7325,,東京都,品川区,南品川3-5-6,2F,,
